overview,genres
A re-imagining of jazz legend Chet Baker's musical comeback in the late '60s.,['Biography'|'Comedy'|'Drama']
Judy Garland and Mickey Rooney star in a musical directed by Busby Berkeley as two talented teenagers dreaming of success as Babes on Broadway.,['Comedy'|'Family'|'Musical']
"An urban teenager journeys to Montana to hunt big game with his estranged father. Father and son struggle to connect, until a brutal encounter in the heart of the wilderness changes everything.",['Adventure'|'Drama'|'Mystery']
The story of Carl Merryweather who believes he experienced an alien encounter at 10-years-old and is now trying to reconnect with the UFO at the same location.,['Sci-Fi']
An American boy runs away in the Indian jungle after a fight with his father.,['Adventure'|'Family']
"A teenager stumbles upon an alien weapon, which transforms him into a grotesque killer.",['Horror'|'Sci-Fi']
"Darren, a young talented musician, dreams of making music like nobody has before. But she's broke. Desperate for cash, she signs up to a paid-dating website, throwing herself down a dark path that shapes her music with it.",['Drama']
"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",['Animation'|'Drama'|'Family']
"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.",['Adventure'|'Comedy'|'Family']
"After leaving his U.S. Army job in Germany, a trucker takes a long-haul driver job in Britain where he runs into an organized-crime syndicate that controls the trucking industry.",['Crime'|'Drama'|'Thriller']
"When a Russian mobster orchestrates a crooked land deal, millions of dollars are up for grabs, drawing in the entire London underworld into a feeding frenzy at a time when the old criminal regime is losing turf to a wealthy foreign mob.",['Action'|'Crime'|'Thriller']
"In 1865, Russian Navy midshipman Rimsky-Korsakov is inspired by a romantic interlude with a cabaret dancer while on shore leave in Spanish Morocco and writes the symphonic suite Scheherazade.",['Adventure'|'Biography'|'Drama']
A young Pakistani-born woman navigates her coming-of-age story while being a newcomer to Canada.,['Drama']
"When 19-year-old Adam agrees to do a day's driving for his mum's gangster boyfriend Peter, it takes him on a 24-hour journey into a nightmarish world of murder, sex trafficking and revenge, in the company of aging hit man Roy.",['Comedy'|'Crime'|'Thriller']
A foul-mouthed finishing school graduate mistakenly winds up on an ill-fated fishing boat and faces the wrath of a crew that considers him bad luck.,['Adventure'|'Comedy'|'Romance']
"After being widowed, Frank Fogle reluctantly embarks on a journey to honor his wife's last wish of spreading her ashes in a remote lake in her native Ireland and a promise of taking his estranged son, Sean, along for the trip. As Sean steps out of prison the last thing on his min... Read all",['Adventure'|'Drama']
"Pran Boon, a hunter, saves the life of a child by killing a young animal. However, later, Pran faces deadly situations when the mother of the animal reaches his village to take revenge from him.",['Action'|'Drama'|'Horror']
"A coming of age film about a group of high school seniors forced to spend a Saturday at school completing an exam they either missed taking or failed. By the end of the day, they find their own values, betrayals and love within themselves and their classmates.",['Drama']
"The fates of an apparently random group of strangers who each come into contact with a mysterious figure who they believe possesses the power to grant any wish, in return for which they must carry out a task he assigns them.",['Drama'|'Mystery'|'Thriller']
Wagon train scout Linc Murdock reminisces about his old feud with rancher Rance Macklin over pretty Maria during the time when Linc worked for the Macklin ranch.,['Romance'|'Western']
The turmoil in poet/playwright Oscar Wilde's life after he discovers his homosexuality.,['Biography'|'Drama'|'Romance']
"In Sunray, a backwater town on Australia's Murray River, there's little to do but fish or listen to the local radio station. D.J. Ken Sherry arrives from the hustle of Brisbane to run the station; he's mid-40s, detached, thrice divorced, hatchet faced. But both sisters next door ... Read all",['Comedy'|'Crime'|'Drama']
A struggling artist in a small town becomes the prime suspect when his wife mysteriously disappears.,['Crime'|'Mystery']
"Leo and Angela Russo live a simple life in Queens, surrounded by their overbearing Italian-American family. When their son 'Sticks' finds success on his high school basketball team, Leo tears the family apart trying to make it happen.",['Comedy'|'Drama']
A former tennis star arranges the murder of his adulterous wife.,['Crime'|'Thriller']
A brave-hearted girl and her charming best friend make a bewitching pair as they embark on a mission to take down the oppressive schooling system of K-12.,['Fantasy'|'Horror'|'Musical']
"A chilling vision of the house of Saddam. The world of Hussein comes to life through the eyes of the man who was given a choice; either be the double for Saddam's sadistic son, or die.",['Biography'|'Drama'|'Thriller']
"Cherry wants to be a prom queen. Trouble is, she's not nominated. Double trouble is, she's not like the other girls. She'll stop at nothing, not even murder and mayhem, to get what she wants.",['Comedy'|'Crime'|'Horror']
"A young woman inherits her mother's Book of Dark Whispers only to discover 10 disturbing tales within its pages. Starring Andrea Demetriades, Asher Keddie and Anthony LaPaglia, the Dark Whispers anthology is brought to you by 11 female filmmakers from across Australia.",['Drama'|'Horror'|'Thriller']
"Experienced British spy must retrieve a defecting Soviet scientist from Turkey. When a pretty female innocent bystander gets kidnapped by mistake by his enemies, he feels responsible and decides to help her as well.",['Action'|'Adventure'|'Crime']
"Part 2 in series of 3 television movies (6 hours) about eighteen-year old orphan and foster child Aaron Corbet and his newfound - and sometimes supernatural - talents. Two mysterious strangers guide him in his quest to learn the truth about his own special destiny, and his role a... Read all",['Action']
"A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.",['Comedy'|'Romance'|'Thriller']
A young boy learns that a superhero who was thought to have gone missing after an epic battle twenty years ago may in fact still be around.,['Action'|'Drama'|'Fantasy']
"During the 1860s in the South Pacific, Capt. Ralls, skipper of the Red Witch, has a series of adventures involving sunken gold bullion, pearls, natives, an unscrupulous ship owner and a giant octopus.",['Action'|'Adventure'|'Romance']
Gumnaami is a film based on the Mukherjee Commission Hearings which happened from 1999 to 2005 where the three theories about Netaji Subhas Chandra Bose's death were discussed and debated.,['Action'|'Drama'|'History']
"An outlaw biker finds himself addicted to a diabolical substance and hunted by a grenade-tossing femme fatale, bounty hunters, law enforcement, a rival motorcycle gang, mutations and a topless stripper hit squad.",['Action'|'Crime'|'Horror']
"An extremely bigoted white man finds out the hard (and somewhat humorous) way what it's like being a black man, firsthand!",['Comedy'|'Drama'|'Fantasy']
A former U.S. special forces officer is recruited by the government's Drug Enforcement Agency to lead a take down drug dealers who are protected by the CIA.,['Drama']
"A video camcorder, a store security camera, and concealed cameras candidly expose lives in three loosely-linked tales.",['Comedy'|'Crime'|'Drama']
A defense attorney works to get his teenage client acquitted of murdering his wealthy father.,['Crime'|'Drama'|'Mystery']
"A modern day tale of good vs evil, secret societies, sorcery and Satan.",['Crime'|'Thriller']
A wannabe-dad mistakes a vertically-challenged criminal on the lam for his newly-adopted son.,['Comedy'|'Crime']
"A police chief hires an old friend, who is an international spy, to help him search for a wanted suspect in the Philippines. When the chief dies, all evidence points towards the spy, and he must go to extremes to defend himself.",['Action']
A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,['Action'|'Crime'|'Thriller']
"A cop turns con man once he comes out of the closet. Once imprisoned, he meets the second love of his life, whom he'll stop at nothing to be with.",['Biography'|'Comedy'|'Crime']
"A Chinese general goes berserk and has a system of tunnels dug all the way from China to USA, under the Pacific Ocean. The man who has discovered this is locked up because they think he is insane. US Navy soldiers go underground to repel the invaders.",['Sci-Fi'|'Thriller']
"In 1925, Arctic prospector Jack McCann (Gene Hackman) becomes a rich man when he strikes gold, but twenty years later, he faces major personal and family problems.",['Drama'|'Thriller']
"Set in the 1880s, the story of how, during a creative dry spell, the partnership of the legendary musical/theatrical writers Gilbert and Sullivan almost dissolves, before they turn it all around and write the Mikado.",['Biography'|'Comedy'|'Drama']
"In a seaside Irish town, a widower sparks with a visiting horror novelist while he also begins to believe he is seeing ghosts.",['Drama'|'Horror'|'Romance']
"In 1914, a British nurse escapes an attack on her outpost in Africa. Hunted by a German-led war party, and with help from local warriors, she embarks on an epic journey to save a neighboring outpost from a massacre.",['Adventure']
"In 1945, during a 48-hour leave, a soldier accidentally meets a girl at Pennsylvania Station and spends his leave with her, eventually falling in love with the lovely New Yorker.",['Drama'|'Romance']
"After a tragedy reunites Nicole with her childhood friends, they each find themselves in danger, targets of a deranged stalker. Nicole knows this can't be a coincidence. The secrets of their past are coming back to haunt them.",['Thriller']
A stay-at-home mom begins to worry that she may be turning into a dog.,['Comedy'|'Fantasy'|'Horror']
"Ace conman Uttam effortlessly thinks up schemes to swindle gullible and greedy folks. However on a rare occasion, things don't go according to plan and he ends up in the clutches of a ruthless gang who demand schemes from him for money.",['Crime'|'Thriller']
"An underworld drama set in the early 1980s, about a lonely factory worker whose life is transformed when he becomes a nightclub doorman.",['Action'|'Crime'|'Drama']
A weak high school student and a mighty gangster exchange their bodies accidentally.,['Action'|'Comedy'|'Fantasy']
Fake faith healer Jonas Nightingale is stranded in a small town where he finds he can't fool all of the people all of the time.,['Comedy'|'Drama'|'Romance']
A staid doctor's monotonous routine is shaken up when a gangster who is on the run decides to hide from the police in his clinic.,['Action'|'Comedy'|'Drama']
"Anbu takes on Rajan's mantle and fights for the people's welfare, while Chandra tries to seek revenge for the death of Rajan, by hatching a plan to kill Guna, Senthil and Velu.",['Action'|'Crime'|'Drama']
"When the launch of a mission to Mars goes awry due to sabotage, International Rescue is requested to assist in the mission's second attempt.",['Animation'|'Action'|'Adventure']
"A loose adaptation of Hamlet, ""The Night Banquet"" is set in an empire in chaos. The Emperor, the Empress, the Crown Prince, the Minister and the General all have their own enemies they would like to finish off at a night banquet.",['Action'|'Drama'|'Fantasy']
Stardust will chronicle the young David Bowie's first visit to the US in 1971 - a trip that inspired the invention of his iconic alter ego Ziggy Stardust.,['Biography'|'Drama'|'Music']
"A story based on Johann Rettenberger, an Austrian marathon runner and a bank robber.",['Biography'|'Crime'|'Drama']
"On their last day of summer, four high-school girls confront sex, violence and their uncertain future as they struggle to reconcile a rebellious youth with impending adulthood.",['Drama']
"When an evil long thought gone returns, it is up to Link and Zelda to seek out the Master Sword and stop the dark wizard Agahnim.",['Action'|'Adventure'|'Fantasy']
"While travelling on their first American tour, Ms. 45, an all-girl punk band, is drugged and kidnapped. They awaken to find their limbs removed and replaced with crude weaponry, and are forced to fight as Gladiators for a sadistic town.",['Action'|'Horror']
A young girl makes a perilous journey from South/Central America to the United States unaware of the real dangers that lie ahead.,['Action']
"After the destruction of Virtual Space Industries at the end of the first film, Jobe is discovered in the rubble and is brought to the facilities of Jonathan Walker (Kevin Conway), a powerful corporate tycoon, where his face is reconstructed and he is hooked back online through v... Read all",['Action'|'Sci-Fi'|'Thriller']
Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,['Comedy'|'Crime']
"Government program Plan 75 encourages senior citizens to be euthanized to remedy an aged society. An elderly woman whose means of survival are vanishing, a pragmatic Plan 75 salesman, and a Filipino laborer face choices of life and death.",['Drama']
A Navy pilot is marooned on an island with a headhunter's daughter and outcast tribal women.,['Adventure'|'Comedy'|'Family']
"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",['Action'|'Adventure'|'Drama']
A former cop-turned-militia man investigates a shooting at a police funeral.,['Crime'|'Drama'|'Thriller']
"Sebastian is a police constable suffering from night blindness undergoes frequent transfers. When a murder takes place on his watch, how will he solve the crime?",['Action'|'Thriller']
"A frumpy spinster blossoms under therapy and becomes an elegant, independent woman.",['Drama'|'Romance']
"Based on a true story, House On The Hill chronicles the outrageous 1980s murder spree of serial killer Leonard Lake, who would target, kidnap, rob and kill people -- and even whole families.",['Crime'|'Horror']
"In 1991, a sheltered teenage boy comes of age during a wild summer he spends on Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head.",['Comedy'|'Crime'|'Drama']
Jason Voorhees stalks a group of friends who's just arrived to spend the weekend at a cabin near Crystal Lake.,['Horror'|'Thriller']
"In the 1970s, Scotland Yard believed it had uncovered a case of vampirism. They call in veteran vampire researcher Professor Lorrimer Van Helsing (a descendant of Dr. Abraham Van Helsing).",['Horror']
"Earth 2020, 3/4 of it's households have a robot. The AI supercomputer, Kronos, considers humans the biggest threat to Earth. A century later, few humans are left. Calia seeks the last human stronghold as does Kronos.",['Action'|'Adventure'|'Drama']
"A military experiment to create a race of super-warriors go awry, and legions of murderous zombies are unleased upon a surburan neighborhood.",['Comedy'|'Horror'|'Sci-Fi']
This tale of intrigue finds Valentina Cortese involved in an assassination plot. She helps the police apprehend the conspirators after an innocent bystander is accidentally killed.,['Crime'|'Drama']
"After a teenage girl is found murdered in a California town, a young woman is forced to prove her brother is innocent of the crime, discovering a disturbing dark side to the community and the hidden identity of the killer.",['Thriller']
"Alexander's day begins with gum stuck in his hair, followed by more calamities. However, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, h... Read all",['Comedy'|'Drama'|'Family']
A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,['Drama'|'Romance']
"Stratos, an ex-con, struggles to help out his former mafia boss. Then, Stratos learns his loyalty is exploited.",['Crime'|'Drama']
A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,['Comedy'|'Drama'|'Romance']
"After a tied first place in a local stunt race, two drivers start a contest to decide which of them will own the prize, a dune buggy. But when a mobster destroys the car, they are determined to get it back.",['Action'|'Comedy']
Facing the possibility of prison - and in search of an idealized freedom - 3 siblings take matters in to their own hands with a cross country crime spree of epic proportions.,['Crime'|'Drama'|'Mystery']
"A career bank robber breaks out of jail, and shares a moment of mutual attraction with a U.S. Marshal he has kidnapped.",['Comedy'|'Crime'|'Drama']
Greece in 2015: the economy is in tatters and the country is on the verge of bankruptcy. A new government rebels against the EU's iron-fisted rule and inspires millions of Europeans. Based on the political memoirs of Yanis Varoufakis.,['Drama']
none,['Action'|'Crime'|'Drama']
"In 1890s London, two friends (Rupert Everett as Algy, Colin Firth as Jack) use the same pseudonym (""Ernest"") for their on-the-sly activities. Hilarity ensues.",['Comedy'|'Drama'|'Romance']
"On the beach one night, Christine Faber, two years a widow, thinks she hears her late husband Paul calling out of the surf; then meets a tall dark man Alexis, who seems to know all about such things.",['Film-Noir'|'Horror'|'Thriller']
"In the medieval world of Veroka, monsters and demons alike roam and terrorize humankind. The Bone Devil has plagued the Kingdom of Remény for years. After a group of trackers fails to kill the creature, King Samuel decides to bring in an elite group of monster hunters. These hunt... Read all",['Action'|'Fantasy'|'Horror']
A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,['Drama'|'Horror'|'Thriller']
The Manhattan General Hospital admitted a string of young women raped by something otherworldly. Dr. Pace and Detective Andriotti try and isolate the strange organic material found on the victims to find the fiend.,['Horror'|'Sci-Fi']
"The Thief (James C. Clayton), pulls off the robbery of a lifetime when he robs the psychotic drug lord, Temple (Vinnie Jones). The plan goes off without a hitch until the Thief discovers a stowaway in his getaway car - Temple's pregnant wife, Mia (Lina Lecompte). With Temple and ... Read all",['Action']
"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.",['Comedy']
Who is the strongest man in the world?,['Action'|'Drama']
"A timid butcher and his drama queen twin sister quit the hostile confines of post- Brexit Britain and adventure to Australia in search of their birth mother, but the seemingly tolerant townsfolk are hiding a dark, meaty secret.",['Comedy'|'Horror'|'Thriller']
The spoiled rich son of a wealthy Southerner is changed by his experiences in the Pacific during World War II.,['Drama'|'War']
"An interstellar hero from a distant world visits Earth, and tries to fit in with a mundane, yet kind, suburban family.",['Action'|'Comedy'|'Sci-Fi']
A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.,['Action'|'Thriller']
"Ensuing after the events of Clouseau's disappearance, his bosses at the Surete put a computer into service to elect a new shrewd detective, Sleigh, who turns up just as inept as Clouseau.",['Comedy'|'Crime'|'Mystery']
A multinational group of train passengers become involved in a post-World War II Nazi assassination plot.,['Crime'|'Drama'|'Film-Noir']
A Chicago psychoanalyst's patient and secretary are murdered and he becomes the police's prime suspect despite his claims that someone is trying to frame him.,['Action'|'Mystery'|'Thriller']
A couple en route from Las Vegas are forced to deal with a body out in the desert making their honeymoon one hellish ride.,['Crime'|'Mystery'|'Thriller']
"Three Colorado girls decide to hop on their motorcycles and head to California. On the way they get mixed up in drugs, rape and stolen motorcycles.",['Action'|'Drama']
A bumbling fairy godfather tries to grant a girl's wish that her cabby father lands a Broadway role.,['Comedy'|'Family'|'Fantasy']
Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret.,['Comedy'|'Music']
"Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother.",['Drama'|'Horror'|'Mystery']
"A social worker tries diligently to steer a group of wayward street urchins on the right path. But his childhood friend, now a fearless gangster, plans to bring the children into his fold.",['Action'|'Crime'|'Drama']
A young Seminole Indian uses his rattlesnake to take revenge on all those he believes have wronged him.,['Horror']
"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",['Drama'|'Horror'|'Sci-Fi']
A youngster from the slums battles against food adulteration by the company that employs him.,['Action'|'Drama'|'Thriller']
"Against his father's wishes, Pedro, a naive kid from Mexico City, joins the Federal Highway Patrol. His simple desire to do good rapidly comes into conflict with the reality of police work.",['Crime'|'Drama']
"The unofficial story of a killer who kidnaps and kills three girls is told through the tale of his last victim, 'Amateur Porn Star Killer' is about a girl he picks up on the street and convinces to go back to his hotel room. The girl is shy, unnerved, and yet unable to take herse... Read all",['Crime'|'Horror']
ANYA is a contemporary sci-fi love story about a newlywed couple who turn to a scientist for help having a baby and find themselves at the center of a genetic puzzle with far reaching implications and an ethically ambiguous solution.,['Drama'|'Sci-Fi']
"In Colombia, mining engineer Rian Mitchell discovers Carrero, the lost emerald mine of the Conquistadors, but has to contend with notorious local bandit El Moro's gang and with coffee planter Catherine Knowland's love.",['Adventure'|'Drama']
An operative for an elite private intelligence firm finds her priorities changing dramatically after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,['Crime'|'Drama'|'Thriller']
"Mario, a rich and eccentric war hero befriends Marco, a loner with a sailboat and takes him home to meet his estranged wife Cleofe and sexually repressed sister in law Matilde.",['Comedy'|'Crime'|'Drama']
A man tries to stop a ruthless business tycoon from destroying a village's livelihood.,['Action']
"A remake of the French film ""A Prophet"", which centers on the exploits of a young man in prison.",['Crime'|'Drama']
"At a carnival called the Garden of Evil, a man is murdered, apparently by a gorilla...or someone in a gorilla suit.",['Crime'|'Film-Noir'|'Mystery']
"It's 1968, and four young, talented Australian Aboriginal girls learn about love, friendship and war when their all-girl group The Sapphires entertain the US troops in Vietnam.",['Biography'|'Comedy'|'Drama']
"An orgy of blood, violence and fun in which a young couple travel to a shabby Eastern European hospital for plastic surgery. Once there things unravel.",['Comedy'|'Horror']
"The Banishing tells the story of the most haunted house in England. In the 1930s, a young reverend, his wife and daughter move into a manor with a horrifying secret.",['Horror'|'Thriller']
A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.,['Drama'|'Romance']
"In order to evade the law, a ruthless don tries to kill his lookalike; a chef and tries to take his place.",['Action'|'Comedy'|'Crime']
"Beautiful Carmen Colson and her ironworker husband Wayne are placed in the Federal Witness Protection program after witnessing an ""incident"". Thinking they are at last safe, they are targeted by an experienced hit man and a psychopathic young upstart killer. The ensuing struggle ... Read all",['Action'|'Crime'|'Drama']
"A squad of soldiers is stranded on an abandoned military base on a near future Earth waiting for the relief or the enemy, whichever comes first.",['Sci-Fi'|'Thriller']
"A miserable fat teenager secretly has a crush on the class beauty, ends up becoming the surprising participant to dance with her at a high school dance, meaning he's got to get his act together with the help of his best friend.",['Comedy'|'Drama']
"A bullied teenager is sent to a reform school where he accidentally summons the spirit of a girl, herself a victim of bullying, who takes vengeance on his tormentors.",['Drama'|'Horror'|'Thriller']
"Based on a graphic novel, this apocalyptic adventure centers on a man who must reverse the cataclysmic conditions of his world.",['Action'|'Fantasy'|'Sci-Fi']
"As the Barrett family's peaceful suburban life is rocked by an escalating series of disturbing events, they come to learn that a terrifying and deadly force is after them, one which may have arrived from beyond the stars.",['Horror'|'Sci-Fi'|'Thriller']
"An American soldier stationed in Rome with the Vatican blown up, embarks on a hero's journey to uncover and defend against an unknown enemy threatening the entire world.",['Thriller'|'War']
"Pee-wee Herman is now a small-town farmer with a fiancée, but when a traveling circus comes to town, he finds himself falling for the trapeze artist.",['Adventure'|'Comedy'|'Romance']
"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",['Drama'|'Musical'|'Romance']
"Follows a family who escapes to a small island running from a mysterious phenomenon that led to mass chaos, but their troubles are only beginning.",['Horror'|'Thriller']
"By listening to and following his heart, Ephraim Hanks finds his way in life and eventually provides relief and rescue to the suffering Martin Handcart Company. Based on a true story.",['Adventure'|'Drama'|'History']
"A rich brother and sister are crazed killers. She lures men into her bed, and he attacks them and murders them. A detective is assigned to find the killers and bring them in.",['Thriller']
David desperately tries to keep his family of six together during a separation from his wife. They both agree to see other people but David struggles to grapple with his wife's new relationship.,['Drama']
A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,['Action'|'Adventure'|'Horror']
"In 1870, a Jamaican colonial family sends its children to Britain for proper schooling but their ship is taken over by pirates who become fond of the kids.",['Adventure'|'Drama']
"A group of contestants travel to a castle in Italy to participate in a million dollar treasure hunt hidden on the premises. Little did they know, the lord of the castle hides a deadly secret.",['Fantasy'|'Horror'|'Mystery']
Oz and Glinda have their first born child named Olivia. They don't tell Olivia that an evil spell has been cast on her by someone she never knew.,['Adventure'|'Family'|'Fantasy']
"A bank executive receives a bomb threat while driving his children to school that his car will explode if they stop and get out. A remake of the 2015 Spanish film ""El Desconocido.""",['Action'|'Thriller']
"After an encounter with a neck-biter, a publishing executive thinks that he's turning into a vampire.",['Comedy'|'Crime'|'Fantasy']
A passionate traffic police who is bored of his routine job stumbles across some skeletons which ignite his soulless life. When he probes into the case he comes across a cop who had investigated the case in the past.,['Crime'|'Drama'|'Thriller']
"Toward the end of World War II, two American soldiers fighting in Southern France become romantically involved with a young, American woman. Her background will reveal more about them than her.",['Action'|'Drama'|'Romance']
"In the distant future, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity's achievements.",['Adventure'|'Fantasy'|'Sci-Fi']
"An electrifying thrill-ride is unfolding with propulsive energy, unexpected twists and breathtaking action.",['Action'|'Romance'|'Thriller']
"A Successful boxing trainer discovers that her boyfriend, A reigning champion, has been cheating on her with her own sister. She sets out to get revenge by training the one man capable of dethroning him: his arch-nemesis Kayden.",['Action'|'Romance']
"Having renounced her ignominious past, a former streetwalker reunites with her son, but an extortion scheme endangers her aspirations for a decent bourgeois life. Can she protect him from the same snares that wounded her youth?",['Drama']
"After her young son is killed in a tragic accident, a woman learns of a ritual which will bring him back to say goodbye, but when she disobeys a sacred warning, she upsets the balance between life and death.",['Horror'|'Thriller']
"Inspired by true events, the shocking story of London's most feared and notorious brothers Reggie and Ronnie Kray as they break Frank 'The Mad Axeman' Mitchell from Dartmoor Prison in December 1966.",['Action'|'Crime']
A young man abandons his family for a solitary life of fly-fishing. His goal was to find his own way in the fishing world and thereby find himself and love.,['Drama'|'Romance']
"Arnold rescued Thomas from a fire when he was a child. Thomas thinks of Arnold as a hero, while Arnold's son Victor resents his father's alcoholism, violence and abandonment of his family.",['Comedy'|'Drama']
A low caste youngster come to a big city for his studies .. The story revolves around him and his struggles for the identity for him and his low caste members..,['Action'|'Drama']
"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",['Action'|'Drama'|'Sci-Fi']
"Peggy Sue faints at a high school reunion. When she wakes up, she finds herself in her own past, just before she finished school.",['Comedy'|'Drama'|'Fantasy']
A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,['Action'|'Crime'|'Drama']
"A comedy set in a world where no one has ever lied, until a writer seizes the opportunity for personal gain.",['Comedy'|'Fantasy'|'Romance']
A fading Hollywood star looks back at the days of his youth as he returns home from his best friend's funeral.,['Drama']
"Based on the life of successful poet Charles Bukowski and his exploits in Hollywood during the 60s, 70s, and 80s.",['Comedy'|'Drama'|'Romance']
"The masters of the Six Major Sects are trapped in Wan On Temple, each of whom was hit with the Ten Scents Poisonous Powder, and have lost all their martial powers.",['Action'|'Fantasy']
A murderer who assumes the identity of a new deputy is unbeknownst to the sheriff planning to pin a separate murder on him.,['Crime'|'Drama'|'Romance']
"Thousands of years ago in ancient China, a love struck sword hero fights against his destiny. He wants another chance to be reunited with his loved one and he gets that chance, in a far away place and a far away time, in the cold north, in modern Finland. Jade Warrior is set in a... Read all",['Action'|'Adventure'|'Drama']
"After being sent to Nigeria against his will, a stubborn Nigerian-American teenager joins forces with an Internet scammer in order to return to the United States.",['Crime'|'Drama'|'Thriller']
"Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.",['Action'|'Drama'|'History']
A talking purple dinosaur leads a group of children on a hunt for a large missing egg.,['Adventure'|'Comedy'|'Drama']
A couple visits the husband's family in India and finds itself in the middle of a fratricidal battle.,['Action'|'Drama'|'Thriller']
An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,['Comedy'|'Family']
"Based on the writer/director's childhood, FARMING tells story of a young Nigerian boy, 'farmed out' by his parents to a white British family in the hope of a better future. Instead, he becomes the feared leader of a white skinhead gang.",['Drama']
"A powerful story, ""INFORMANT"" shows a frustrated Detective that wants to keep his local Community safe, where different obstacles are put in his path from every direction, which forces the Detective to take the law into his own hands to stop this gang activity.",['Action']
Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.,['Adventure'|'Horror'|'Thriller']
"When his sister asks him to look after her son, a radio journalist embarks on a cross-country trip with his energetic nephew to show him life away from Los Angeles.",['Drama']
"At the NFL Draft, General Manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams.",['Drama'|'Sport']
A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.,['Comedy'|'Drama']
"When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.",['Comedy'|'Drama']
"When teenager Alan and his younger brother find a bag of gold coins in a dead man's island home, they try to hide it from their friends, but one of them, suspicious and violently unpredictable, is willing to do anything to get the money.",['Drama'|'Thriller']
Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,['Crime'|'Drama'|'Thriller']
"When God decides to destroy Earth, four angels aim to redeem mankind through a young man and woman with their own troubles.",['Comedy'|'Fantasy'|'Romance']
"Marian, a middle aged nurse, devotes herself to her patients like a saint. Sometimes she even takes on the role of a redeemer, by helping the gravely ill to the soothing order of ultimate silence. When she gets linked to a neighbor in an act of common voyeurism, she becomes fasci... Read all",['Drama'|'Horror'|'Mystery']
"21-year-old Cioma Schönhaus won't let anyone take away his zest for life, especially not the Nazis. He wants to discover life, but has the misfortune of living as a Jewish person in Berlin in the 1940s. Since the best hiding spots are in plain sight, Cioma decides to go out into ... Read all",['Biography'|'Drama']
"Using almost no dialogue, the film follows a number of residents (both human and animal) of a small rural community in Hungary - an old man with hiccups, a shepherdess and her sheep, an old woman who may or may not be up to no good, some folk-singers at a wedding, etc. While most... Read all",['Crime'|'Mystery'|'Drama']
Film about the events surrounding the terrorist attacks in Copenhagen on February 14th and 15th 2015.,['Crime'|'Drama']
A portrait of a remote village where a buffalo escapes and causes a frenzy of ecstatic violence.,['Action'|'Crime'|'Thriller']
"Stella is a highly successful, forty-something San Francisco stock broker who is persuaded by her colorful New York girlfriend Delilah to take a well deserved, first-class vacation to Jamaica.",['Comedy'|'Drama'|'Romance']
Two teenage girls discover a mermaid in their beach club's swimming pool.,['Comedy'|'Family'|'Fantasy']
